id,no,kode_wilayah_kemendagri,kode_wilayah_bps,kabupaten,komoditas,kebutuhan,ketersediaan,neraca,satuan,minggu_ke,bulan,tahun,status
846,846,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,22.315,2.805710356,TON,3,JUNI,2023,SURPLUS
847,847,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,79.706,3.317182261,TON,3,JUNI,2023,SURPLUS
848,848,32.18,3218,PANGANDARAN,BERAS,810.1769713,1045.98,235.8030287,TON,4,JUNI,2023,SURPLUS
849,849,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,8.82,7.912860766,TON,4,JUNI,2023,SURPLUS
850,850,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,26.43,4.957918642,TON,4,JUNI,2023,SURPLUS
851,851,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,12.975,2.458671286,TON,4,JUNI,2023,SURPLUS
852,852,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,9.11,5.877548309,TON,4,JUNI,2023,SURPLUS
853,853,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,22.065,6.879160022,TON,4,JUNI,2023,SURPLUS
854,854,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,11.06725,8.086515974,TON,4,JUNI,2023,SURPLUS
855,855,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,89.0865,11.0414865,TON,4,JUNI,2023,SURPLUS
856,856,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.9825,9.948615813,TON,4,JUNI,2023,SURPLUS
857,857,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,22.415,2.905710356,TON,4,JUNI,2023,SURPLUS
858,858,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,79.706,3.317182261,TON,4,JUNI,2023,SURPLUS
859,859,32.18,3218,PANGANDARAN,BERAS,810.1769713,1389.4875,579.3105287,TON,1,JULI,2023,SURPLUS
860,860,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,7.87,6.962860766,TON,1,JULI,2023,SURPLUS
861,861,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,30.495,9.022918642,TON,1,JULI,2023,SURPLUS
862,862,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,12.977,2.460671286,TON,1,JULI,2023,SURPLUS
863,863,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,14.195,10.96254831,TON,1,JULI,2023,SURPLUS
864,864,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,22.07,6.884160022,TON,1,JULI,2023,SURPLUS
865,865,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,16.96725,13.98651597,TON,1,JULI,2023,SURPLUS
866,866,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,89.2365,11.1914865,TON,1,JULI,2023,SURPLUS
867,867,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.7325,9.698615813,TON,1,JULI,2023,SURPLUS
868,868,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.329,3.819710356,TON,1,JULI,2023,SURPLUS
869,869,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,164.676,88.28718226,TON,1,JULI,2023,SURPLUS
870,870,32.18,3218,PANGANDARAN,BERAS,810.1769713,1293.4075,483.2305287,TON,2,JULI,2023,SURPLUS
871,871,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,54.495,53.58786077,TON,2,JULI,2023,SURPLUS
872,872,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,30.49,9.017918642,TON,2,JULI,2023,SURPLUS
873,873,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,12.975,2.458671286,TON,2,JULI,2023,SURPLUS
874,874,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,14.115,10.88254831,TON,2,JULI,2023,SURPLUS
875,875,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,22.071,6.885160022,TON,2,JULI,2023,SURPLUS
876,876,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,17.01725,14.03651597,TON,2,JULI,2023,SURPLUS
877,877,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,88.9865,10.9414865,TON,2,JULI,2023,SURPLUS
878,878,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,56.0825,10.04861581,TON,2,JULI,2023,SURPLUS
879,879,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.02,3.510710356,TON,2,JULI,2023,SURPLUS
880,880,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,164.716,88.32718226,TON,2,JULI,2023,SURPLUS
881,881,32.18,3218,PANGANDARAN,BERAS,810.1769713,1593.355,783.1780287,TON,3,JULI,2023,SURPLUS
882,882,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,13.87925,12.97211077,TON,3,JULI,2023,SURPLUS
883,883,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.43,3.957918642,TON,3,JULI,2023,SURPLUS
884,884,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,12.775,2.258671286,TON,3,JULI,2023,SURPLUS
885,885,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,6.905,3.672548309,TON,3,JULI,2023,SURPLUS
886,886,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,18.921,3.735160022,TON,3,JULI,2023,SURPLUS
887,887,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,75.04825,72.06751597,TON,3,JULI,2023,SURPLUS
888,888,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,82.595,4.5499865,TON,3,JULI,2023,SURPLUS
889,889,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,51.61825,5.584365813,TON,3,JULI,2023,SURPLUS
890,890,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,22.98,3.470710356,TON,3,JULI,2023,SURPLUS
891,891,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,164.716,88.32718226,TON,3,JULI,2023,SURPLUS
892,892,32.18,3218,PANGANDARAN,BERAS,810.1769713,1273.2875,463.1105287,TON,4,JULI,2023,SURPLUS
893,893,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,13.82925,12.92211077,TON,4,JULI,2023,SURPLUS
894,894,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.25,3.777918642,TON,4,JULI,2023,SURPLUS
895,895,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,12.775,2.258671286,TON,4,JULI,2023,SURPLUS
896,896,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,6.9,3.667548309,TON,4,JULI,2023,SURPLUS
897,897,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,18.926,3.740160022,TON,4,JULI,2023,SURPLUS
898,898,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,6.07,3.089265974,TON,4,JULI,2023,SURPLUS
899,899,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,82.595,4.5499865,TON,4,JULI,2023,SURPLUS
900,900,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,51.11825,5.084365813,TON,4,JULI,2023,SURPLUS
901,901,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.12,3.610710356,TON,4,JULI,2023,SURPLUS
902,902,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,163.884,87.49518226,TON,4,JULI,2023,SURPLUS
903,903,32.18,3218,PANGANDARAN,BERAS,810.1769713,2164.714415,1354.537444,TON,1,AGUSTUS,2023,SURPLUS
904,904,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.815,0.907860766,TON,1,AGUSTUS,2023,SURPLUS
905,905,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.685,4.212918642,TON,1,AGUSTUS,2023,SURPLUS
906,906,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.89,5.373671286,TON,1,AGUSTUS,2023,SURPLUS
907,907,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.525,26.29254831,TON,1,AGUSTUS,2023,SURPLUS
908,908,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,20.435,5.249160022,TON,1,AGUSTUS,2023,SURPLUS
909,909,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,8.28,5.299265974,TON,1,AGUSTUS,2023,SURPLUS
910,910,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.335,62.2899865,TON,1,AGUSTUS,2023,SURPLUS
911,911,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,68.79825,22.76436581,TON,1,AGUSTUS,2023,SURPLUS
912,912,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.66,5.150710356,TON,1,AGUSTUS,2023,SURPLUS
913,913,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,85.696,9.307182261,TON,1,AGUSTUS,2023,SURPLUS
914,914,32.18,3218,PANGANDARAN,BERAS,810.1769713,2164.414415,1354.237444,TON,2,AGUSTUS,2023,SURPLUS
915,915,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.855,0.947860766,TON,2,AGUSTUS,2023,SURPLUS
916,916,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.675,4.202918642,TON,2,AGUSTUS,2023,SURPLUS
917,917,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.895,5.378671286,TON,2,AGUSTUS,2023,SURPLUS
918,918,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,30.35,27.11754831,TON,2,AGUSTUS,2023,SURPLUS
919,919,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,21.035,5.849160022,TON,2,AGUSTUS,2023,SURPLUS
920,920,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.256,12.27526597,TON,2,AGUSTUS,2023,SURPLUS
921,921,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.9425,74.8974865,TON,2,AGUSTUS,2023,SURPLUS
922,922,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,123.63075,77.59686581,TON,2,AGUSTUS,2023,SURPLUS
923,923,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.475,4.965710356,TON,2,AGUSTUS,2023,SURPLUS
924,924,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,86.064,9.675182261,TON,2,AGUSTUS,2023,SURPLUS
925,925,32.18,3218,PANGANDARAN,BERAS,810.1769713,2164.414415,1354.237444,TON,3,AGUSTUS,2023,SURPLUS
926,926,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,5.605,4.697860766,TON,3,AGUSTUS,2023,SURPLUS
927,927,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,26.175,4.702918642,TON,3,AGUSTUS,2023,SURPLUS
928,928,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.895,5.378671286,TON,3,AGUSTUS,2023,SURPLUS
929,929,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,27.293,24.06054831,TON,3,AGUSTUS,2023,SURPLUS
930,930,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,18.435,3.249160022,TON,3,AGUSTUS,2023,SURPLUS
931,931,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.256,12.27526597,TON,3,AGUSTUS,2023,SURPLUS
932,932,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.9425,74.8974865,TON,3,AGUSTUS,2023,SURPLUS
933,933,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,123.63075,77.59686581,TON,3,AGUSTUS,2023,SURPLUS
934,934,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.475,4.965710356,TON,3,AGUSTUS,2023,SURPLUS
935,935,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,86.064,9.675182261,TON,3,AGUSTUS,2023,SURPLUS
936,936,32.18,3218,PANGANDARAN,BERAS,810.1769713,2164.409415,1354.232444,TON,4,AGUSTUS,2023,SURPLUS
937,937,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,5.61,4.702860766,TON,4,AGUSTUS,2023,SURPLUS
938,938,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,26.175,4.702918642,TON,4,AGUSTUS,2023,SURPLUS
939,939,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.898,5.381671286,TON,4,AGUSTUS,2023,SURPLUS
940,940,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,27.303,24.07054831,TON,4,AGUSTUS,2023,SURPLUS
941,941,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,18.44,3.254160022,TON,4,AGUSTUS,2023,SURPLUS
942,942,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.256,12.27526597,TON,4,AGUSTUS,2023,SURPLUS
943,943,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.0425,73.9974865,TON,4,AGUSTUS,2023,SURPLUS
944,944,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,123.63075,77.59686581,TON,4,AGUSTUS,2023,SURPLUS
945,945,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.675,5.165710356,TON,4,AGUSTUS,2023,SURPLUS
946,946,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,86.064,9.675182261,TON,4,AGUSTUS,2023,SURPLUS
947,947,32.18,3218,PANGANDARAN,BERAS,810.1769713,2164.759415,1354.582444,TON,5,AGUSTUS,2023,SURPLUS
948,948,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,5.61,4.702860766,TON,5,AGUSTUS,2023,SURPLUS
949,949,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.686,4.213918642,TON,5,AGUSTUS,2023,SURPLUS
950,950,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.902,5.385671286,TON,5,AGUSTUS,2023,SURPLUS
951,951,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,27.263,24.03054831,TON,5,AGUSTUS,2023,SURPLUS
952,952,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,18.445,3.259160022,TON,5,AGUSTUS,2023,SURPLUS
953,953,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.42,12.43926597,TON,5,AGUSTUS,2023,SURPLUS
954,954,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.0625,74.0174865,TON,5,AGUSTUS,2023,SURPLUS
955,955,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,123.78075,77.74686581,TON,5,AGUSTUS,2023,SURPLUS
956,956,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.475,4.965710356,TON,5,AGUSTUS,2023,SURPLUS
957,957,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,85.048,8.659182261,TON,5,AGUSTUS,2023,SURPLUS
958,958,32.18,3218,PANGANDARAN,BERAS,810.1769713,3495.163338,2684.986366,TON,1,SEPTEMBER,2023,SURPLUS
959,959,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,21.551,20.64386077,TON,1,SEPTEMBER,2023,SURPLUS
960,960,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.686,4.213918642,TON,1,SEPTEMBER,2023,SURPLUS
961,961,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.902,5.385671286,TON,1,SEPTEMBER,2023,SURPLUS
962,962,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,27.263,24.03054831,TON,1,SEPTEMBER,2023,SURPLUS
963,963,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,18.42,3.234160022,TON,1,SEPTEMBER,2023,SURPLUS
964,964,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.62,12.63926597,TON,1,SEPTEMBER,2023,SURPLUS
965,965,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.1625,74.1174865,TON,1,SEPTEMBER,2023,SURPLUS
966,966,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,123.88075,77.84686581,TON,1,SEPTEMBER,2023,SURPLUS
967,967,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.675,5.165710356,TON,1,SEPTEMBER,2023,SURPLUS
968,968,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,85.144,8.755182261,TON,1,SEPTEMBER,2023,SURPLUS
969,969,32.18,3218,PANGANDARAN,BERAS,810.1769713,2634.7475,1824.570529,TON,2,SEPTEMBER,2023,SURPLUS
970,970,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.865,0.957860766,TON,2,SEPTEMBER,2023,SURPLUS
971,971,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.521,8.048918642,TON,2,SEPTEMBER,2023,SURPLUS
972,972,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.902,5.385671286,TON,2,SEPTEMBER,2023,SURPLUS
973,973,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.13,25.89754831,TON,2,SEPTEMBER,2023,SURPLUS
974,974,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.805,4.619160022,TON,2,SEPTEMBER,2023,SURPLUS
975,975,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.53,12.54926597,TON,2,SEPTEMBER,2023,SURPLUS
976,976,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.1625,74.1174865,TON,2,SEPTEMBER,2023,SURPLUS
977,977,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,123.58075,77.54686581,TON,2,SEPTEMBER,2023,SURPLUS
978,978,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.475,4.965710356,TON,2,SEPTEMBER,2023,SURPLUS
979,979,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,85.224,8.835182261,TON,2,SEPTEMBER,2023,SURPLUS
980,980,32.18,3218,PANGANDARAN,BERAS,810.1769713,11914.53838,11104.3614,TON,3,SEPTEMBER,2023,SURPLUS
981,981,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.865,0.957860766,TON,3,SEPTEMBER,2023,SURPLUS
982,982,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.526,8.053918642,TON,3,SEPTEMBER,2023,SURPLUS
983,983,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.902,5.385671286,TON,3,SEPTEMBER,2023,SURPLUS
984,984,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.13,25.89754831,TON,3,SEPTEMBER,2023,SURPLUS
985,985,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.805,4.619160022,TON,3,SEPTEMBER,2023,SURPLUS
986,986,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.525,12.54426597,TON,3,SEPTEMBER,2023,SURPLUS
987,987,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.1625,74.1174865,TON,3,SEPTEMBER,2023,SURPLUS
988,988,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,124.08075,78.04686581,TON,3,SEPTEMBER,2023,SURPLUS
989,989,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.675,5.165710356,TON,3,SEPTEMBER,2023,SURPLUS
990,990,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,85.16,8.771182261,TON,3,SEPTEMBER,2023,SURPLUS
991,991,32.18,3218,PANGANDARAN,BERAS,810.1769713,11914.53838,11104.3614,TON,4,SEPTEMBER,2023,SURPLUS
992,992,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.865,0.957860766,TON,4,SEPTEMBER,2023,SURPLUS
993,993,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.526,8.053918642,TON,4,SEPTEMBER,2023,SURPLUS
994,994,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,16.002,5.485671286,TON,4,SEPTEMBER,2023,SURPLUS
995,995,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.13,25.89754831,TON,4,SEPTEMBER,2023,SURPLUS
996,996,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.83,4.644160022,TON,4,SEPTEMBER,2023,SURPLUS
997,997,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.525,12.54426597,TON,4,SEPTEMBER,2023,SURPLUS
998,998,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.1625,74.1174865,TON,4,SEPTEMBER,2023,SURPLUS
999,999,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,123.88075,77.84686581,TON,4,SEPTEMBER,2023,SURPLUS
1000,1000,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.675,5.165710356,TON,4,SEPTEMBER,2023,SURPLUS
1001,1001,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,85.176,8.787182261,TON,4,SEPTEMBER,2023,SURPLUS
1002,1002,32.18,3218,PANGANDARAN,BERAS,810.1769713,11914.16238,11103.9854,TON,1,OKTOBER,2023,SURPLUS
1003,1003,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.83,0.922860766,TON,1,OKTOBER,2023,SURPLUS
1004,1004,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.545,8.072918642,TON,1,OKTOBER,2023,SURPLUS
1005,1005,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.925,5.408671286,TON,1,OKTOBER,2023,SURPLUS
1006,1006,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.13,25.89754831,TON,1,OKTOBER,2023,SURPLUS
1007,1007,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.815,4.629160022,TON,1,OKTOBER,2023,SURPLUS
1008,1008,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.53,12.54926597,TON,1,OKTOBER,2023,SURPLUS
1009,1009,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,152.0725,74.0274865,TON,1,OKTOBER,2023,SURPLUS
1010,1010,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,124.93075,78.89686581,TON,1,OKTOBER,2023,SURPLUS
1011,1011,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.68,5.170710356,TON,1,OKTOBER,2023,SURPLUS
1012,1012,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.808,8.419182261,TON,1,OKTOBER,2023,SURPLUS
1013,1013,32.18,3218,PANGANDARAN,BERAS,810.1769713,4047.652707,3237.475736,TON,2,OKTOBER,2023,SURPLUS
1014,1014,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,16.12475,15.21761077,TON,2,OKTOBER,2023,SURPLUS
1015,1015,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.545,8.072918642,TON,2,OKTOBER,2023,SURPLUS
1016,1016,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.925,5.408671286,TON,2,OKTOBER,2023,SURPLUS
1017,1017,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.135,25.90254831,TON,2,OKTOBER,2023,SURPLUS
1018,1018,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.81,4.624160022,TON,2,OKTOBER,2023,SURPLUS
1019,1019,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,14.86925,11.88851597,TON,2,OKTOBER,2023,SURPLUS
1020,1020,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.3565,62.3114865,TON,2,OKTOBER,2023,SURPLUS
1021,1021,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,109.1425,63.10861581,TON,2,OKTOBER,2023,SURPLUS
1022,1022,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.5,4.990710356,TON,2,OKTOBER,2023,SURPLUS
1023,1023,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.944,8.555182261,TON,2,OKTOBER,2023,SURPLUS
1024,1024,32.18,3218,PANGANDARAN,BERAS,810.1769713,4040.082707,3229.905736,TON,3,OKTOBER,2023,SURPLUS
1025,1025,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,16.11975,15.21261077,TON,3,OKTOBER,2023,SURPLUS
1026,1026,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.535,8.062918642,TON,3,OKTOBER,2023,SURPLUS
1027,1027,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.925,5.408671286,TON,3,OKTOBER,2023,SURPLUS
1028,1028,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.135,25.90254831,TON,3,OKTOBER,2023,SURPLUS
1029,1029,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.81,4.624160022,TON,3,OKTOBER,2023,SURPLUS
1030,1030,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,14.72925,11.74851597,TON,3,OKTOBER,2023,SURPLUS
1031,1031,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.3365,62.2914865,TON,3,OKTOBER,2023,SURPLUS
1032,1032,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,109.5825,63.54861581,TON,3,OKTOBER,2023,SURPLUS
1033,1033,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.485,4.975710356,TON,3,OKTOBER,2023,SURPLUS
1034,1034,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.992,8.603182261,TON,3,OKTOBER,2023,SURPLUS
1035,1035,32.18,3218,PANGANDARAN,BERAS,810.1769713,4046.949925,3236.772953,TON,4,OKTOBER,2023,SURPLUS
1036,1036,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,16.03975,15.13261077,TON,4,OKTOBER,2023,SURPLUS
1037,1037,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,29.535,8.062918642,TON,4,OKTOBER,2023,SURPLUS
1038,1038,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.925,5.408671286,TON,4,OKTOBER,2023,SURPLUS
1039,1039,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,29.135,25.90254831,TON,4,OKTOBER,2023,SURPLUS
1040,1040,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.805,4.619160022,TON,4,OKTOBER,2023,SURPLUS
1041,1041,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,14.82925,11.84851597,TON,4,OKTOBER,2023,SURPLUS
1042,1042,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,140.3565,62.3114865,TON,4,OKTOBER,2023,SURPLUS
1043,1043,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,108.4825,62.44861581,TON,4,OKTOBER,2023,SURPLUS
1044,1044,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,24.42,4.910710356,TON,4,OKTOBER,2023,SURPLUS
1045,1045,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,84.792,8.403182261,TON,4,OKTOBER,2023,SURPLUS
1046,1046,32.18,3218,PANGANDARAN,BERAS,810.1769713,4049.216707,3239.039736,TON,5,OKTOBER,2023,SURPLUS
1047,1047,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,16.14975,15.24261077,TON,5,OKTOBER,2023,SURPLUS
